"","landslide_category","landslide_trigger","landslide_size","landslide_setting","fatality_count","injury_count","country_name","year"
"2976","landslide","unknown","unknown","above_road",0,0,"United States","11"
"2977","rock_fall","unknown","medium","above_road",0,0,"United States","16"
"2978","mudslide","rain","medium","unknown",18,NA,"Indonesia","10"
"2979","landslide","downpour","medium","unknown",0,NA,"Nepal","10"
"2980","debris_flow","downpour","medium","unknown",NA,NA,"United States","08"
"2981","landslide","continuous_rain","medium","unknown",10,NA,"Sierra Leone","13"
"2982","mudslide","downpour","medium","unknown",0,NA,"United States","13"
"2983","mudslide","downpour","medium","unknown",0,NA,"United States","11"
"2984","mudslide","downpour","small","urban",0,0,"Australia","15"
"2985","landslide","downpour","medium","unknown",0,NA,"Italy","10"
"2986","mudslide","downpour","medium","unknown",0,NA,"United States","13"
"2987","landslide","downpour","small","unknown",0,NA,"United States","11"
"2988","landslide","unknown","unknown","above_road",0,0,"United States","15"
"2989","mudslide","downpour","small","unknown",0,NA,"United States","10"
"2990","mudslide","downpour","medium","above_road",0,0,"United States","14"
"2991","landslide","downpour","medium","below_road",0,0,"United Kingdom","14"
"2992","mudslide","rain","medium","unknown",0,NA,"United States","12"
"2993","landslide","rain","medium","unknown",2,NA,"India","07"
"2994","landslide","unknown","unknown","above_road",0,0,"United States","15"
"2995","landslide","unknown","unknown","above_road",0,0,"United States","15"
"2996","landslide","downpour","medium","unknown",0,NA,"Bulgaria","10"
"2997","landslide","tropical_cyclone","medium","unknown",0,NA,"Costa Rica","13"
"2998","landslide","downpour","medium","unknown",1,NA,"India","11"
"2999","landslide","rain","medium","above_river",NA,NA,"United States","07"
"3000","landslide","downpour","medium","unknown",0,NA,"Malaysia","13"
"3001","landslide","downpour","medium","unknown",1,NA,"Indonesia","10"
"3002","landslide","downpour","medium","unknown",0,NA,"United States","10"
"3003","mudslide","continuous_rain","medium","above_road",0,0,"United States","14"
"3004","rock_fall","unknown","small","bluff",0,0,"Peru","14"
"3005","landslide","downpour","medium","unknown",0,NA,"India","13"
"3006","landslide","downpour","medium","unknown",2,NA,"Philippines","12"
"3007","landslide","downpour","medium","unknown",3,NA,"Italy","11"
"3008","landslide","downpour","medium","unknown",NA,NA,"Indonesia","08"
"3009","mudslide","tropical_cyclone","very_large","natural_slope",430,NA,"Philippines","12"
"3010","landslide","continuous_rain","medium","above_road",0,1,"India","16"
"3011","landslide","unknown","unknown","above_road",0,0,"United States","16"
"3012","landslide","rain","medium","above_road",0,0,"Costa Rica","15"
"3013","landslide","downpour","medium","unknown",0,NA,"Taiwan","10"
"3014","mudslide","rain","small","unknown",NA,NA,"United States","08"
"3015","landslide","unknown","unknown","above_road",0,0,"United States","16"
"3016","landslide","unknown","unknown","above_road",0,0,"United States","15"
"3017","rock_fall","downpour","small","unknown",0,NA,"South Africa","13"
"3018","landslide","rain","medium","unknown",0,NA,"Italy","11"
"3019","landslide","unknown","small","mine",1,0,"Bangladesh","15"
"3020","mudslide","downpour","medium","unknown",0,NA,"United States","11"
"3021","landslide","downpour","medium","unknown",0,NA,"Trinidad and Tobago","13"
"3022","landslide","tropical_cyclone","medium","unknown",7,NA,"Philippines","09"
"3023","landslide","downpour","medium","unknown",0,NA,"Brazil","10"
"3024","riverbank","rain","medium","retaining_wall",0,0,"United States","16"
"3025","mudslide","downpour","medium","unknown",0,NA,"United States","10"
"3026","landslide","unknown","unknown","above_road",0,0,"United States","16"
"3027","landslide","continuous_rain","medium","unknown",0,0,"India","15"
"3028","landslide","continuous_rain","medium","unknown",4,1,"China","13"
"3029","landslide","tropical_cyclone","medium","unknown",1,NA,"Japan","09"
"3030","landslide","downpour","medium","unknown",4,NA,"India","11"
"3031","riverbank","downpour","small","above_river",0,0,"Vietnam","15"
"3032","landslide","downpour","medium","unknown",5,NA,"Nepal","08"
"3033","debris_flow","continuous_rain","medium","natural_slope",0,0,"Canada","14"
"3034","rock_fall","unknown","small","above_road",0,1,"United States","14"
"3035","landslide","continuous_rain","small","above_road",0,0,"United States","15"
"3036","landslide","continuous_rain","medium","unknown",0,0,"Nicaragua","14"
"3037","landslide","tropical_cyclone","medium","unknown",NA,NA,"Philippines","08"
"3038","landslide","tropical_cyclone","medium","above_road",0,0,"Philippines","16"
"3039","mudslide","downpour","small","unknown",0,NA,"United States","10"
"3040","landslide","rain","medium","unknown",0,NA,"India","13"
"3041","landslide","unknown","unknown","above_road",0,0,"United States","13"
"3042","landslide","rain","small","above_road",0,0,"United States","16"
"3043","rock_fall","unknown","medium","above_road",0,0,"United States","15"
"3044","landslide","rain","medium","unknown",0,0,"Canada","14"
"3045","landslide","unknown","medium","above_road",0,0,"United Kingdom","14"
"3046","landslide","downpour","medium","unknown",0,NA,"United States","10"
"3047","mudslide","rain","small","unknown",0,NA,"United States","13"
"3048","mudslide","mining","medium","mine",4,0,"Bangladesh","15"
"3049","landslide","downpour","small","above_road",0,NA,"United States","10"
"3050","landslide","continuous_rain","medium","urban",5,0,"India","15"
"3051","landslide","downpour","medium","unknown",NA,NA,"United Kingdom","07"
"3052","landslide","tropical_cyclone","medium","unknown",0,0,"United Kingdom","15"
"3053","landslide","continuous_rain","medium","unknown",1,NA,"Germany","11"
"3054","landslide","unknown","unknown","above_road",0,0,"United States","13"
"3055","landslide","downpour","medium","unknown",4,NA,"India","09"
"3056","complex","downpour","medium","above_road",0,0,"France","15"
"3057","landslide","continuous_rain","medium","above_road",0,0,"India","15"
"3058","landslide","tropical_cyclone","medium","unknown",1,NA,"China","13"
"3059","landslide","downpour","medium","unknown",0,NA,"India","11"
"3060","landslide","downpour","medium","unknown",0,NA,"Vietnam","10"
"3061","landslide","tropical_cyclone","large","unknown",17,NA,"Guatemala","10"
"3062","landslide","continuous_rain","medium","above_road",0,0,"India","15"
"3063","landslide","rain","large","unknown",3,NA,"Kenya","12"
"3064","landslide","downpour","medium","unknown",0,NA,"Armenia","10"
"3065","mudslide","rain","small","unknown",0,NA,"United States","13"
"3066","landslide","downpour","medium","unknown",0,NA,"Indonesia","10"
"3067","landslide","unknown","medium","unknown",1,NA,"India","12"
"3068","debris_flow","downpour","medium","above_road",0,0,"United States","14"
"3069","landslide","unknown","medium","unknown",1,NA,"India","13"
"3070","landslide","tropical_cyclone","large","unknown",104,NA,"Philippines","09"
"3071","mudslide","downpour","medium","unknown",0,NA,"United States","10"
"3072","debris_flow","downpour","medium","natural_slope",0,0,"United States","15"
"3073","landslide","downpour","large","unknown",NA,NA,"China","08"
"3074","landslide","downpour","medium","unknown",0,NA,"India","10"
"3075","landslide","unknown","unknown","above_road",0,0,"United States","15"
"3076","landslide","unknown","unknown","above_road",0,0,"United States","16"
"3077","landslide","rain","medium","unknown",7,NA,"Peru","08"
"3078","debris_flow","rain","medium","above_river",0,0,"Canada","14"
"3079","landslide","continuous_rain","small","above_road",0,0,"United States","15"
"3080","landslide","rain","small","unknown",2,NA,"Philippines","08"
"3081","landslide","unknown","unknown","above_road",0,0,"United States","14"
"3082","landslide","unknown","medium","above_road",1,1,"India","15"
"3083","landslide","rain","small","bluff",0,0,"United Kingdom","15"
"3084","mudslide","downpour","small","unknown",0,0,"United States","14"
"3085","landslide","unknown","unknown","above_road",0,0,"United States","12"
"3086","landslide","downpour","medium","unknown",0,NA,"United States","13"
"3087","mudslide","rain","small","unknown",NA,NA,"Canada","08"
"3088","landslide","downpour","small","unknown",0,NA,"United States","13"
"3089","rock_fall","downpour","medium","natural_slope",0,0,"Croatia","16"
"3090","mudslide","downpour","very_large","unknown",424,NA,"Brazil","11"
"3091","landslide","tropical_cyclone","medium","above_road",0,0,"Madagascar","12"
"3092","landslide","continuous_rain","medium","natural_slope",0,0,NA,"17"
"3093","landslide","downpour","small","unknown",0,NA,"United States","09"
"3094","landslide","downpour","small","urban",7,3,"Indonesia","15"
"3095","landslide","downpour","medium","unknown",0,NA,"Uganda","11"
"3096","landslide","rain","medium","unknown",3,NA,"Vietnam","08"
"3097","landslide","continuous_rain","small","above_road",0,0,"United States","15"
"3098","landslide","downpour","small","unknown",0,NA,"United States","11"
"3099","landslide","unknown","medium","unknown",1,NA,"Indonesia","13"
"3100","landslide","rain","medium","unknown",NA,NA,"Dominican Republic","12"
"3101","landslide","downpour","small","unknown",0,NA,"New Zealand","13"
"3102","landslide","downpour","medium","unknown",0,NA,"Ghana","10"
"3103","mudslide","downpour","medium","unknown",0,NA,"United States","11"
"3104","landslide","rain","medium","unknown",NA,NA,"United Kingdom","08"
"3105","landslide","unknown","unknown","below_road",0,0,"United States","15"
"3106","mudslide","downpour","medium","unknown",3,NA,"Haiti","10"
"3107","landslide","rain","medium","unknown",6,0,"Indonesia","16"
"3108","landslide","downpour","medium","unknown",2,NA,"Venezuela","10"
"3109","landslide","tropical_cyclone","medium","unknown",50,NA,"Philippines","09"
"3110","mudslide","downpour","small","unknown",0,NA,"United States","10"
"3111","landslide","rain","medium","above_road",0,0,"United States","16"
"3112","landslide","downpour","medium","unknown",0,NA,"India","10"
"3113","rock_fall","downpour","small","natural_slope",1,1,"India","16"
"3114","landslide","downpour","medium","unknown",1,0,"India","15"
"3115","landslide","rain","small","above_road",0,0,"Afghanistan","14"
"3116","landslide","continuous_rain","medium","urban",0,0,"Honduras","15"
"3117","rock_fall","unknown","small","above_road",0,0,"United States","16"
"3118","landslide","earthquake","large","unknown",1,3,"China","13"
"3119","landslide","continuous_rain","medium","unknown",0,0,"Nicaragua","14"
"3120","landslide","unknown","unknown","above_road",0,0,"United States","12"
"3121","landslide","rain","medium","unknown",0,NA,"United States","11"
"3122","landslide","tropical_cyclone","medium","above_road",0,0,"Philippines","14"
"3123","landslide","downpour","medium","unknown",3,NA,"Nepal","11"
"3124","landslide","downpour","medium","unknown",NA,NA,"India","09"
"3125","mudslide","rain","small","unknown",0,NA,"United States","13"
"3126","rock_fall","downpour","small","above_road",0,0,"United States","15"
"3127","landslide","rain","medium","below_road",0,0,"India","11"
"3128","mudslide","downpour","medium","unknown",3,NA,"Peru","12"
"3129","mudslide","unknown","small","natural_slope",0,0,"United States","15"
"3130","landslide","continuous_rain","small","above_road",0,0,"United States","15"
"3131","landslide","tropical_cyclone","very_large","unknown",0,NA,"Philippines","11"
"3132","debris_flow","downpour","medium","unknown",0,NA,"France","10"
"3133","landslide","rain","small","urban",0,0,"United States","15"
"3134","landslide","downpour","medium","mine",13,2,"Indonesia","14"
"3135","landslide","downpour","medium","unknown",0,NA,"Costa Rica","10"
"3136","landslide","unknown","unknown","above_road",0,0,"United States","11"
"3137","mudslide","rain","medium","unknown",NA,NA,"United States","13"
"3138","mudslide","downpour","medium","unknown",NA,NA,"China","12"
"3139","landslide","unknown","unknown","above_road",0,0,"United States","14"
"3140","mudslide","downpour","small","unknown",0,NA,"United States","12"
"3141","mudslide","downpour","small","above_road",1,0,"Switzerland","16"
"3142","mudslide","tropical_cyclone","very_large","unknown",39,NA,"Japan","13"
"3143","mudslide","rain","medium","above_road",0,NA,"United States","10"
"3144","complex","downpour","medium","unknown",NA,NA,"Malaysia","08"
"3145","landslide","unknown","medium","above_road",0,0,"Dominica","14"
"3146","landslide","continuous_rain","small","unknown",0,0,"India","15"
"3147","mudslide","monsoon","medium","unknown",NA,NA,"India","08"
"3148","complex","downpour","large","unknown",21,NA,"Tajikistan","10"
"3149","landslide","downpour","medium","unknown",0,NA,"Georgia","10"
"3150","landslide","downpour","small","unknown",0,0,"Malaysia","15"
"3151","landslide","unknown","medium","above_road",0,0,"Philippines","16"
"3152","mudslide","rain","small","urban",0,0,"United States","14"
"3153","landslide","rain","small","unknown",NA,NA,"United States","07"
"3154","mudslide","rain","small","natural_slope",0,0,NA,"16"
"3155","mudslide","downpour","large","unknown",28,NA,"Italy","09"
"3156","rock_fall","unknown","medium","natural_slope",0,0,NA,"15"
"3157","landslide","downpour","large","unknown",10,NA,"India","11"
"3158","landslide","downpour","medium","unknown",0,NA,"Panama","10"
"3159","landslide","downpour","small","unknown",0,NA,"China","11"
"3160","landslide","rain","medium","unknown",NA,NA,"United States","13"
"3161","landslide","rain","small","unknown",0,NA,"Thailand","13"
"3162","landslide","downpour","very_large","unknown",NA,NA,"China","13"
"3163","landslide","unknown","unknown","above_road",0,0,"United States","14"
"3164","landslide","downpour","medium","unknown",0,NA,"Brazil","10"
"3165","landslide","tropical_cyclone","medium","unknown",0,NA,"New Zealand","11"
"3166","landslide","rain","medium","unknown",3,2,"El Salvador","14"
"3167","landslide","unknown","unknown","above_road",0,0,"United States","12"
"3168","landslide","unknown","unknown","above_road",0,0,"United States","15"
"3169","landslide","unknown","unknown","above_road",0,0,"United States","12"
"3170","landslide","unknown","unknown","above_road",0,0,"United States","13"
"3171","other","monsoon","medium","above_road",0,0,"Philippines","16"
"3172","landslide","earthquake","medium","above_river",1,0,"Pakistan","15"
"3173","trans_slide","rain","medium","above_road",3,1,"China","15"
"3174","landslide","downpour","small","above_road",0,0,"Panama","15"
"3175","landslide","tropical_cyclone","medium","unknown",0,0,"Saint Vincent and the Grenadines","16"
"3176","landslide","rain","medium","unknown",NA,NA,"India","13"
"3177","mudslide","downpour","small","unknown",0,NA,"United States","11"
"3178","landslide","continuous_rain","small","above_road",0,0,"United States","15"
"3179","mudslide","continuous_rain","large","deforested_slope",151,0,"India","14"
"3180","landslide","unknown","medium","unknown",0,0,"Nepal","14"
