Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Late-demographic dividend,LTE,2142908325,2156164379,2169773889,2182871640,2196130364,2209708504,2223457388,2237241890,2250812795,2264568981
Lithuania,LTU,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231
Luxembourg,LUX,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014
Latvia,LVA,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537
"Macao SAR, China",MAC,503823,514348,525313,536969,549439,562531,575841,588781,600942,612167
St. Martin (French part),MAF,28905,29376,29820,30235,30615,30959,31264,31530,31754,31949
Morocco,MAR,31225881,31596855,31989897,32409639,32858823,33333789,33824769,34318082,34803322,35276786
Monaco,MCO,35111,35853,36534,37094,37497,37783,37971,38132,38307,38499
Moldova,MDA,3576910,3570108,3565604,3562045,3559986,3559519,3558566,3556397,3554108,3551954
Madagascar,MDG,19433523,19996469,20569121,21151640,21743949,22346573,22961146,23589801,24234088,24894551
Maldives,MDV,336070,345054,354501,364511,375131,386203,397397,408247,418403,427756
Middle East & North Africa,MEA,363996317,371999662,380192587,388376106,396573248,404783020,412953000,421030035,428974903,436738031
Mexico,MEX,111836346,113661809,115505228,117318941,119090017,120828307,122535969,124221600,125890949,127540423
Marshall Islands,MHL,52137,52218,52320,52425,52542,52663,52793,52898,52994,53066
Middle income,MIC,4946553085,5004104587,5062605505,5121807824,5181847962,5242597655,5304029982,5365538848,5426786956,5487997451
"Macedonia, FYR",MKD,2065458,2067378,2069093,2070739,2072383,2074036,2075739,2077495,2079308,2081206
Mali,MLI,13675606,14138216,14606597,15075085,15540989,16006670,16477818,16962846,17467905,17994837
Malta,MLT,406724,409379,412477,414508,416268,420028,425967,434558,445053,455356
Myanmar,MMR,49171586,49479752,49800690,50155896,50553031,50986514,51448196,51924182,52403669,52885223
Middle East & North Africa (excluding high income),MNA,317721161,323531149,329488935,335581557,341822043,348195697,354641044,361077997,367449306,373719055
Montenegro,MNE,615875,616969,618294,619428,620079,620601,621207,621810,622159,622303
Mongolia,MNG,2591670,2628131,2668289,2712650,2761516,2814226,2869107,2923896,2976877,3027398
Northern Mariana Islands,MNP,59513,57431,55674,54424,53786,53718,54036,54468,54816,55023
Mozambique,MOZ,22188387,22846758,23524063,24221405,24939005,25676606,26434372,27212382,28010691,28829476
Mauritania,MRT,3312665,3407541,3506288,3609543,3717672,3830239,3946170,4063920,4182341,4301018
Mauritius,MUS,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473
Malawi,MWI,13840969,14271234,14714602,15167095,15627618,16097305,16577147,17068838,17573607,18091575
Malaysia,MYS,26625845,27111069,27605383,28112289,28635128,29170456,29706724,30228017,30723155,31187265
North America,NAC,334184023,337405012,340465736,343408819,346051624,348808615,351451876,354223012,356937591,359735880
Namibia,NAM,2079915,2106375,2137040,2173170,2215621,2263934,2316520,2370992,2425561,2479713
New Caledonia,NCL,239250,242750,245950,249750,254350,259000,263650,268050,272400,276550
Niger,NER,14668338,15228525,15813913,16425578,17064636,17731634,18426372,19148219,19896965,20672987
Nigeria,NGA,146417024,150347390,154402181,158578261,162877076,167297284,171829303,176460502,181181744,185989640
Nicaragua,NIC,5522106,5594506,5666581,5737723,5807820,5877108,5945747,6013997,6082035,6149928
Netherlands,NLD,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314
Norway,NOR,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5190239,5234519
Nepal,NPL,26214847,26475859,26741103,27023137,27327147,27649925,27985310,28323241,28656282,28982771
Nauru,NRU,10002,9947,9945,10025,10057,10279,10821,11853,12475,13049
New Zealand,NZL,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4693200
OECD members,OED,1215883020,1225426691,1234203233,1242381746,1248753526,1256621013,1264776347,1273232695,1281592990,1289987410
Oman,OMN,2662762,2759014,2882942,3041460,3237268,3464644,3711481,3960925,4199810,4424762
Other small states,OSS,24300791,24955735,25615419,26267053,26900149,27529595,28153079,28774019,29396503,30012500
Pakistan,PAK,160332974,163644603,167049580,170560182,174184265,177911533,181712595,185546257,189380513,193203476
Panama,PAN,3453807,3516268,3579385,3643222,3707782,3772938,3838462,3903986,3969249,4034119
Peru,PER,28292724,28641980,29001507,29373646,29759989,30158966,30565716,30973354,31376671,31773839
Philippines,PHL,89293490,90751864,92220879,93726624,95277940,96866642,98481032,100102249,101716359,103320222
Palau,PLW,20116,20228,20342,20470,20599,20758,20920,21094,21288,21503
Papua New Guinea,PNG,6627922,6787187,6947447,7108239,7269348,7430836,7592865,7755785,7919825,8084991
Poland,POL,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087
Pre-demographic dividend,PRE,677788806,697549138,717959651,739082260,760942116,783505835,806705375,830442736,854646007,879292453
Puerto Rico,PRI,3782995,3760866,3740410,3721525,3678732,3634488,3593077,3534874,3473177,3406520
"Korea, Dem. People’s Rep.",PRK,24203289,24335146,24463021,24591599,24722298,24854034,24985976,25116363,25243917,25368620
Portugal,PRT,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452
Paraguay,PRY,5966159,6047117,6127837,6209877,6293783,6379219,6465740,6552584,6639119,6725308
West Bank and Gaza,PSE,3494496,3596688,3702218,3811102,3927051,4046901,4169506,4294682,4422143,4551566
Pacific island small states,PSS,2126235,2155339,2184837,2214096,2242763,2271298,2300045,2329458,2358955,2388875
Post-demographic dividend,PST,1058174510,1064603304,1070107590,1075131208,1078064180,1082727404,1087610209,1092678876,1097735849,1102778565
French Polynesia,PYF,260594,263179,265581,267820,269843,271703,273528,275484,277690,280208
Qatar,QAT,1189633,1389342,1590780,1779676,1952054,2109568,2250473,2374419,2481539,2569804
Romania,ROU,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815481,19702332
Russian Federation,RUS,142805088,142742350,142785342,142849449,142960868,143201676,143506911,143819666,144096870,144342396
Rwanda,RWA,9447402,9708169,9977446,10246842,10516071,10788853,11065151,11345357,11629553,11917508
South Asia,SAS,1560818860,1584359049,1607663899,1630806784,1653798614,1676615491,1699310450,1721847786,1744199944,1766393714
Saudi Arabia,SAU,25252569,25940770,26661492,27425676,28238020,29086357,29944476,30776722,31557144,32275687
Sudan,SDN,32282526,32955496,33650619,34385963,35167314,35990192,36849918,37737913,38647803,39578828
Senegal,SEN,11873557,12203957,12550917,12916229,13300910,13703513,14120320,14546111,14976994,15411614
Singapore,SGP,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283
Solomon Islands,SLB,492940,504477,516079,527790,539614,551531,563513,575504,587482,599419
Sierra Leone,SLE,6015417,6165372,6310260,6458720,6611692,6766103,6922079,7079162,7237025,7396190
El Salvador,SLV,6083475,6110301,6137276,6164626,6192560,6221246,6250777,6281189,6312478,6344722
San Marino,SMR,29977,30351,30723,31110,31504,31914,32303,32657,32960,33203
Somalia,SOM,11038596,11369276,11707990,12053223,12404725,12763776,13132349,13513125,13908129,14317996
Serbia,SRB,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7058322
Sub-Saharan Africa (excluding high income),SSA,808575133,830878600,853866359,877538597,901902485,926951572,952644123,978926559,1005756630,1033118066
South Sudan,SSD,8856800,9263136,9670667,10067192,10448857,10818258,11177490,11530971,11882136,12230730
Sub-Saharan Africa,SSF,808660166,830965556,853953657,877628367,901989926,927039875,952734072,979017918,1005850049,1033212743
Small states,SST,33278247,34006389,34739790,35465245,36171934,36875022,37572012,38266156,38960406,39646847
Sao Tome and Principe,STP,163101,166913,170813,174776,178800,182889,187045,191266,195553,199910
Suriname,SUR,509705,515148,520619,526103,531589,537077,542540,547928,553208,558368
Slovak Republic,SVK,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798
Slovenia,SVN,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042
Sweden,SWE,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085
Eswatini,SWZ,1138434,1158897,1180675,1202843,1225258,1248158,1271456,1295097,1319011,1343098
Sint Maarten (Dutch part),SXM,33811,33964,34238,34056,33435,34640,36607,37685,38824,39969
Seychelles,SYC,85033,86956,87298,89770,87441,88303,89949,91359,93419,94677
Syrian Arab Republic,SYR,19632806,20325443,20824893,21018834,20863993,20420701,19809141,19203090,18734987,18430453
Turks and Caicos Islands,TCA,28640,29481,30245,30994,31731,32431,33108,33739,34339,34900
Chad,TCD,10775708,11133861,11502786,11887202,12288651,12705135,13133589,13569438,14009413,14452543
East Asia & Pacific (IDA & IBRD countries),TEA,1900087547,1913991988,1927809542,1941604842,1955546907,1969762859,1984152637,1998686391,2013132699,2027896410
Europe & Central Asia (IDA & IBRD countries),TEC,436814265,437864853,439624673,441513779,443585809,445770413,448167115,450521747,452960829,455379371
Togo,TGO,5997385,6161796,6330472,6502952,6679282,6859482,7042948,7228915,7416802,7606374
Thailand,THA,66195615,66545760,66881867,67208808,67530130,67843979,68143065,68416772,68657600,68863514
Tajikistan,TJK,7152385,7309728,7472819,7641630,7815949,7995062,8177809,8362745,8548651,8734951
Turkmenistan,TKM,4870137,4935762,5007950,5087210,5174061,5267839,5366277,5466241,5565284,5662544
Latin America & the Caribbean (IDA & IBRD countries),TLA,558768052,565956228,573125269,580246796,587315129,594330743,601277206,608136047,614891969,621534921
Timor-Leste,TLS,1064973,1078110,1092021,1109591,1131523,1156760,1184366,1212814,1240977,1268671
Middle East & North Africa (IDA & IBRD countries),TMN,314226665,319934461,325786717,331770455,337894992,344148796,350471538,356783315,363027163,369167489
Tonga,TON,102357,103005,103604,104137,104577,104951,105328,105782,106364,107122
South Asia (IDA & IBRD),TSA,1560818860,1584359049,1607663899,1630806784,1653798614,1676615491,1699310450,1721847786,1744199944,1766393714
